Devices
1000
,,Myon - Voltage,,,,,,,,,,,,,
Frame,Sub Frame,GC-M,TA,SOL,VM,VL,RF,BF,ST,GLUT-M,EO,Gracilis,GC-L,Semimembranosus
,,V,V,V,V,V,V,V,V,V,V,V,V,V
1,0,0.0247192,0,0.0228882,0.0192261,0.00671387,0.0317383,0.0390625,0.0344849,0.027771,0.0250244,-0.0317383,0.0119019,0.0283813
1,1,0.0222778,0.0140381,0.00732422,-0.00366211,0.0247192,0.0134277,0.0222778,0.0299072,0.0189209,0.0396729,-0.0234985,0.0244141,0.0143433
1,2,-0.00396729,0.0167847,0.0115967,-0.0137329,0.0302124,0.0411987,0.0537109,0.03479,0.0186157,0.0112915,-0.0302124,0.00915527,0.0201416
1,3,0.0198364,-0.00396729,0.010376,-0.000610352,0.0164795,0.0274658,0.0366211,0.0332642,0.0198364,0.0204468,-0.0219727,-0.00823975,0.0180054
1,4,0.0131226,0.00518799,0.0253296,0.0280762,0.0134277,0.0524902,0.0415039,0.0238037,0.0396729,0.0244141,-0.0149536,0.022583,0.00274658
2,0,0.0146484,0.0222778,0.0170898,0.00518799,0.0204468,0.0390625,0.0271606,0.0408936,0.0271606,0.0189209,-0.0186157,0.0265503,0.00793457
2,1,0.0234985,0.0152588,0.0170898,0.00946045,-0.0344849,0.0375366,0.0289917,0.0228882,0.0238037,0.0274658,-0.000915527,-0.00213623,0.0268555
2,2,-0.00762939,-0.0369263,0.0088501,0.0183105,0.0253296,0.0219727,0.0308228,0.0448608,0.0292969,0.0280762,-0.0289917,0.0192261,0.0259399
2,3,0.020752,0.0241089,0.0198364,0.0164795,0.020752,0.057373,0.0363159,0.0271606,0.0241089,0.0387573,-0.0271606,0.0265503,0.0247192
2,4,0.017395,-0.0671387,0.039978,0.0152588,0.0442505,0.0131226,0.0283813,0.0469971,0.03479,0.0366211,-0.0256348,0.0256348,0.0198364
3,0,0.0323486,0.0167847,0.0390625,0.0164795,0.0219727,-0.0241089,0.0350952,0.0323486,0.0360107,0.0326538,-0.0378418,0.0219727,0.00427246
3,1,0.00396729,0.0167847,0.0280762,0.0186157,0.0256348,0.0357056,0.0323486,0.0189209,0.0363159,0.0280762,-0.0180054,0.0250244,0.03479
3,2,0.0402832,0.0167847,0.0119019,-0.00457764,0.0128174,0.0234985,0.0469971,0.0280762,0.0311279,0.0241089,-0.0256348,0.0311279,-0.0238037
3,3,0.0332642,0.0619507,0.0195312,0.0344849,-0.0369263,0.0183105,0.0274658,0.0820923,0.0323486,0.0320435,-0.0198364,0.0213623,0.0146484
3,4,0.0128174,0.0259399,0.0115967,0.0119019,0.0283813,0.0512695,0.0317383,0.0302124,0.0323486,0.0253296,-0.0180054,0.0128174,0.0250244
4,0,0.0228882,-0.0137329,0.00946045,-0.00152588,0.0256348,0.0411987,0.0466919,0.0170898,0.0244141,0.0393677,-0.0210571,0.0250244,0.00854492
4,1,0.010376,0.0222778,0.0189209,0.00274658,0.0128174,0.0140381,0.00732422,0.0283813,0.0274658,-0.0152588,-0.0372314,0.0158691,-0.00396729
4,2,0.0161743,0.017395,0.0372314,0.00518799,0.0177002,0.0271606,0.0296021,0.0280762,0.00488281,0.0216675,-0.0326538,0.0140381,0.0213623
4,3,0.0256348,0.00579834,0.0234985,-0.0112915,0.00549316,0.0320435,0.020752,0.0613403,0.0250244,0.0363159,-0.0289917,0.0280762,0.0134277
4,4,0.027771,0.0228882,0.0375366,-0.027771,0.0170898,0.017395,0.043335,0.0250244,0.0299072,0.0408936,-0.0222778,0.0140381,-0.0305176
5,0,0.0283813,0.022583,0.0213623,-0.00427246,0.0183105,0.0289917,0.0335693,0.0259399,0.0405884,0.0231934,-0.027771,0.0115967,0.0137329
5,1,0.0234985,0.0186157,0.00549316,0.00396729,0.0259399,0.0411987,0.0323486,0.0250244,0.0302124,0.0274658,-0.0231934,0.0216675,0.0201416
5,2,0.0183105,-0.00427246,0.022583,0.0012207,0.0369263,0.0271606,0.0341797,0.0241089,0.0524902,0.0369263,-0.0201416,0.0219727,0.0256348
5,3,0.0228882,0.0119019,0.0213623,0.00762939,0.0119019,0.0210571,0.055542,0.0158691,0.0390625,0.0241089,-0.0338745,0.0189209,0.015564
5,4,0.0112915,0.0115967,0.00305176,0.00518799,0.020752,0.0338745,0.0231934,0.0442505,0.00915527,0.0201416,-0.03479,-0.0384521,0.0183105
6,0,0.0228882,0.0292969,0.0439453,0.00427246,0.0201416,0.0244141,0.027771,0.0418091,0.0402832,0.0341797,-0.0369263,0.0289917,0.0152588
6,1,0.0119019,0.03479,0.0152588,0.0164795,-0.00762939,0.0231934,0.0299072,0.015564,0.0326538,0.0219727,-0.0537109,-0.00152588,0.0149536
6,2,0.0543213,0.015564,0.0283813,0.00488281,0.0134277,0.0280762,0.0384521,0.0332642,0.0241089,0.0308228,-0.0326538,0.0210571,0.0189209
6,3,0.010376,0.0140381,0.0192261,0.0177002,0.0106812,0.0271606,0.0323486,0.0228882,0.0238037,0.0323486,0.00518799,0.0247192,0.0161743
6,4,0.0192261,0.00732422,0.0393677,0.0112915,0.0415039,0.0302124,0.0296021,0.00488281,0.0332642,0.022583,-0.0311279,0.0219727,0.0177002
7,0,0.0457764,0.00183105,0.0204468,0.057373,0.0216675,0.0250244,0.00610352,0.027771,0.0360107,0.0259399,-0.0192261,0.0219727,0.0177002
7,1,0.0177002,0.0204468,0.0314331,0.0161743,0.00549316,0.0137329,0.0283813,0.0299072,0.0280762,0.0283813,-0.0296021,0.0567627,0.010376
7,2,0.0180054,0.017395,0.00762939,0.00946045,0.0231934,0.0320435,0.0271606,0.022583,0.0311279,0.0299072,-0.0314331,0.0183105,0.0112915
7,3,0.0234985,0.0192261,0.0286865,0.0265503,0.0283813,0.022583,0.0250244,0.027771,0.0088501,0.0256348,-0.0289917,0.0811768,0.0164795
7,4,-0.0384521,0.0167847,0.00610352,0.0250244,0.0164795,0.00518799,0.0308228,0.0280762,0.0479126,0.0125122,-0.0689697,0.0384521,0.0201416
8,0,0.0320435,0.00152588,0.0140381,0.0180054,0.0183105,0.0192261,-0.0247192,0.0344849,0.0305176,0.0384521,-0.0357056,0.0204468,0.0131226
8,1,0.0161743,0.0317383,0.0177002,0.0238037,0.00335693,0.0167847,0.0320435,0.0637817,0.0296021,0.0411987,0.0088501,0.0244141,0.0280762
8,2,0.015564,0.0299072,0.0241089,0.0112915,0.0219727,0.0552368,0.0335693,0.0344849,-0.0189209,0.0296021,-0.0296021,0.0296021,0.0149536
8,3,0.0106812,0.0231934,0.0210571,0.0177002,0.0344849,0.0170898,0.0259399,0.0228882,0.0448608,0.0299072,-0.0164795,0.015564,0.00976562
8,4,0.0265503,0.0167847,0.0299072,0.00915527,0.0131226,0.0222778,0.0238037,0.0109863,0.0350952,0.00335693,-0.0323486,0.055542,0.0408936
9,0,0.0320435,0.0198364,0.0238037,0.0152588,0.0259399,0.0216675,0.0198364,0.0296021,0.101318,0.0186157,-0.03479,0.0299072,0.010376
9,1,0.00457764,0.00305176,0.0253296,0.0106812,0.0274658,0.0299072,0.0360107,0.00732422,0.039978,0.0289917,-0.0274658,0.0115967,0.0137329
9,2,0.0238037,0.0228882,0.0250244,0.0119019,0.012207,0.0354004,0.0161743,0.0244141,0.0396729,0.0387573,-0.0357056,0.0390625,0.0140381
9,3,0.0378418,0.00183105,0.0213623,0.0158691,0.0244141,0.00823975,0.0201416,0.0149536,0.0167847,0.0268555,-0.0134277,0.0250244,0.0231934
9,4,0.039978,0.0167847,0.0216675,0.00640869,0.00976562,0.00732422,0.0204468,0.0405884,0.0317383,0.0927734,-0.0265503,0.0286865,0.0222778
10,0,0.0354004,0.0201416,-0.00671387,0.017395,0.0814819,0.0323486,0.0177002,0.0793457,0.0280762,0.0128174,-0.0360107,0.0332642,0.0384521
10,1,0.0341797,0.0109863,0.0299072,0.0283813,0.039978,0.0247192,0.0137329,0.0326538,0.0280762,0.00976562,-0.0463867,0.0289917,0.000915527
10,2,0.0302124,0.0177002,0.0274658,0.022583,0.0167847,0.0143433,-0.0186157,0.0204468,0.0350952,0.0134277,-0.0296021,0.0183105,-0.0253296
10,3,0.0344849,0.0112915,0.0418091,-0.0231934,0.0170898,0.0219727,0.0323486,0.0198364,0.0204468,0.0231934,-0.0213623,0.0265503,0.0396729
10,4,0.0430298,-0.00823975,0.0335693,0.0933838,0.0286865,0.0259399,-0.0247192,0.0201416,0.0305176,0.0302124,-0.0222778,-0.000305176,0.0253296
11,0,0.0354004,0.03479,0.0180054,0.0140381,0.0283813,0.00457764,0.0320435,0.0335693,0.0289917,0.0308228,-0.022583,0.0213623,0.0274658
11,1,0.0323486,0.0253296,0.020752,0.0231934,0.0180054,0.0186157,0.015564,0.0201416,0.0244141,0.010376,-0.0311279,0.0219727,0.0405884
11,2,0.0308228,0.0286865,0.0106812,0.0198364,-0.0390625,0.0152588,0.0216675,0.0250244,0.0289917,0.0363159,-0.0378418,0.022583,0.0234985
11,3,0.0305176,0.0250244,0.0250244,0.0350952,0.0241089,0.0201416,0.0106812,0.0308228,0.0289917,0.0418091,-0.0424194,-0.015564,0.0256348
11,4,0.0131226,0.0296021,0.0137329,0.0109863,-0.0296021,0.012207,0.0497437,0.101318,0.0506592,0.0430298,-0.0418091,0.0393677,0.0146484
12,0,0.0268555,0.0299072,0.0292969,0.0222778,0.022583,0.0164795,0.0170898,0.0204468,0.0289917,0.0415039,-0.0274658,0.022583,0.0448608
12,1,0.0308228,0.0234985,0.0610352,0.0213623,0.0375366,0.0219727,0.00976562,0.0186157,0.0387573,0.0228882,-0.0308228,0.0341797,-0.0119019
12,2,0.0631714,0.038147,0.0241089,-0.00305176,0.038147,0.0238037,0.0244141,0.0384521,0.0302124,0.0283813,-0.0271606,0.022583,0.0210571
12,3,0.0262451,-0.0491333,0.0259399,0.0177002,0.0457764,0.00610352,0.0259399,0.00457764,0.0311279,0.0213623,-0.0314331,0.0137329,0.0402832
12,4,0.0247192,0.0192261,0.0238037,0.0128174,0.0213623,0.0158691,0.0408936,0.0186157,0.03479,0.0167847,-0.0296021,0.0323486,0.0436401
13,0,0.0210571,0.0305176,0.0192261,0.0164795,0.083313,0.0128174,0.0213623,-0.020752,0.0222778,0.0231934,-0.0369263,0.0296021,0.0271606
13,1,0.0366211,0.0634766,0.0216675,0.0250244,0.0244141,0.0192261,0.00213623,0.0164795,0.0405884,0.0448608,-0.0415039,-0.00732422,0.0341797
13,2,0.0357056,0.0241089,0.0149536,0.00793457,-0.00854492,0.022583,0.0216675,0.0390625,0.0177002,0.0405884,-0.0387573,0.0161743,0.0253296
13,3,0.0238037,0.0320435,0.0213623,0.00488281,0.0234985,0.012207,0.0180054,0.0241089,0.0189209,0.0402832,-0.0421143,0.0222778,0.0189209
